test_ar_order,layer,lag,is_within_ar_order,context_normalized_attention,raw_attention
4,1,10,0,0.030795078724622726,0.029716283082962036
4,1,11,0,0.027637077495455742,0.026759622618556023
4,1,12,0,0.023020990192890167,0.022314807400107384
4,1,13,0,0.020541654899716377,0.020019803196191788
4,1,14,0,0.01860390417277813,0.01810307987034321
4,1,15,0,0.01942461170256138,0.01896192692220211
4,1,16,0,0.01935724914073944,0.018814807757735252
4,1,17,0,0.020445244386792183,0.019942617043852806
4,1,18,0,0.019132528454065323,0.018622446805238724
4,1,19,0,0.019289478659629822,0.018856042996048927
4,1,20,0,0.018025923520326614,0.017573470249772072
4,1,21,0,0.019645504653453827,0.019164787605404854
4,1,22,0,0.020181212574243546,0.01956249587237835
4,1,23,0,0.021824931725859642,0.02117626555263996
4,1,24,0,0.020791208371520042,0.020130079239606857
4,1,25,0,0.018523644655942917,0.01800650544464588
4,1,26,0,0.016514066606760025,0.01601226069033146
4,1,27,0,0.015724975615739822,0.015275256708264351
4,1,28,0,0.015859847888350487,0.015345016494393349
4,1,29,0,0.015441574156284332,0.014938960783183575
4,1,30,0,0.013352428562939167,0.012892166152596474
4,1,31,0,0.009038767777383327,0.008782986551523209
4,1,32,0,0.008101061917841434,0.007912089116871357
5,0,1,1,0.4301266670227051,0.37382772564888
5,0,2,1,0.3169676661491394,0.29852747917175293
5,0,3,1,0.2521270513534546,0.24993155896663666
5,0,4,1,0.0006836812826804817,0.0006793198408558965
5,0,5,1,9.282238089269867e-09,7.929507606085906e-10
5,0,6,0,3.8384379008604697e-11,4.886445848645282e-12
5,0,7,0,7.874301211074908e-11,7.787259032054905e-11
5,0,8,0,3.6027580918585045e-10,3.6026956418133693e-10
5,0,9,0,2.745142637650133e-06,2.745142637650133e-06
5,0,10,0,1.2646839309127245e-07,1.2646837888041773e-07
5,0,11,0,1.0236131603794107e-13,1.0236111275003373e-13
5,0,12,0,1.3874939824965437e-17,2.27896158333209e-18
5,0,13,0,8.700891840785624e-15,5.197638956874143e-15
5,0,14,0,1.0700007720132465e-11,8.034804375653404e-13
5,0,15,0,2.549250766037403e-08,2.5464570896360783e-08
5,0,16,0,9.976944284062483e-07,9.976095043384703e-07
5,0,17,0,5.55965318227436e-09,2.5189297314653913e-09
5,0,18,0,6.011662634364257e-08,1.4760808575431383e-08
5,0,19,0,1.78169295850239e-06,2.4137202103702293e-07
5,0,20,0,3.9256241279872484e-07,9.04265249346281e-08
5,0,21,0,9.002201863950177e-07,9.00051816188352e-07
5,0,22,0,8.779529889579862e-05,8.779529889579862e-05
5,0,23,0,1.4245392421230463e-08,1.4245392421230463e-08
5,0,24,0,1.819247411475656e-15,1.8178982997489167e-15
5,0,25,0,2.4791205249097755e-19,1.8052005824854263e-19
5,0,26,0,2.957656865282102e-18,2.9435242777214804e-18
5,0,27,0,2.6632384516581294e-14,2.6632384516581294e-14
5,0,28,0,7.008982283451815e-11,7.008983671230595e-11
5,0,29,0,1.4640040210938537e-13,1.4640040210938537e-13
5,0,30,0,1.5397789388089882e-20,1.5397786156915614e-20
5,0,31,0,1.2965502134058779e-25,6.419221263363063e-26
5,0,32,0,9.20036281125115e-22,9.122537959527624e-22
5,1,1,1,0.27688074111938477,0.27550995349884033
5,1,2,1,0.0374225415289402,0.03586772084236145
5,1,3,1,0.0377696231007576,0.0364813469350338
5,1,4,1,0.046282391995191574,0.04433049261569977
5,1,5,1,0.040472403168678284,0.03897003456950188
5,1,6,0,0.03794854134321213,0.03652697801589966
5,1,7,0,0.03229035064578056,0.031286563724279404
5,1,8,0,0.0310722216963768,0.029974315315485
5,1,9,0,0.03087613359093666,0.0299052856862545
5,1,10,0,0.03123518079519272,0.0301276333630085
5,1,11,0,0.027638796716928482,0.02680567465722561
5,1,12,0,0.022760100662708282,0.022073635831475258
5,1,13,0,0.020828740671277046,0.02031823620200157
5,1,14,0,0.01842387020587921,0.01795034296810627
5,1,15,0,0.01989043317735195,0.019437391310930252
5,1,16,0,0.0197517778724432,0.019195402041077614
5,1,17,0,0.020514314994215965,0.019990738481283188
5,1,18,0,0.018942832946777344,0.018429648131132126
5,1,19,0,0.0185541994869709,0.018146857619285583
5,1,20,0,0.017785919830203056,0.017344119027256966
5,1,21,0,0.01937970146536827,0.01890445500612259
5,1,22,0,0.020062929019331932,0.01946018636226654
5,1,23,0,0.02167689986526966,0.021048957481980324
5,1,24,0,0.020210333168506622,0.01956087537109852
5,1,25,0,0.018329676240682602,0.017819955945014954
5,1,26,0,0.01589481346309185,0.015409941785037518
5,1,27,0,0.01583569496870041,0.015378981828689575
5,1,28,0,0.015568705275654793,0.015053965151309967
5,1,29,0,0.015271225944161415,0.014804957434535027
5,1,30,0,0.01327519305050373,0.012826315127313137
5,1,31,0,0.009265197440981865,0.00900734681636095
5,1,32,0,0.007888516411185265,0.007686000317335129
6,0,1,1,0.43178677558898926,0.3747331202030182
6,0,2,1,0.31624549627304077,0.2975899577140808
6,0,3,1,0.25118666887283325,0.249236598610878
6,0,4,1,0.0006868882919661701,0.0006844933959655464
6,0,5,1,5.572167172118725e-09,7.094739795654448e-10
6,0,6,1,3.3195286797127466e-11,5.183484284160267e-12
6,0,7,0,8.100992793247386e-11,8.022241898553162e-11
6,0,8,0,3.8051925499438255e-10,3.8051534145822075e-10
6,0,9,0,3.099886498603155e-06,3.099886498603155e-06
6,0,10,0,1.3186171088364063e-07,1.3186171088364063e-07
6,0,11,0,1.0955216497420678e-13,1.0955188714740008e-13
6,0,12,0,1.241457313301838e-17,1.4162505649401893e-18
6,0,13,0,9.069689138987199e-15,5.369766216151584e-15
6,0,14,0,1.4870871461319934e-12,2.0542125129825034e-13
6,0,15,0,2.5761510258348608e-08,2.575084501188485e-08
6,0,16,0,9.985033102566376e-07,9.984295274989563e-07
6,0,17,0,1.280377470713745e-09,3.0268793027588003e-10
6,0,18,0,1.6589650542186973e-08,3.2724227772007453e-09
6,0,19,0,3.548372546902101e-07,6.239370975436032e-08
6,0,20,0,3.8910215494070144e-08,7.225514853104187e-09
6,0,21,0,8.778582127888512e-07,8.777448101682239e-07
6,0,22,0,8.86243797140196e-05,8.862437243806198e-05
6,0,23,0,1.4381426716170154e-08,1.4381426716170154e-08
6,0,24,0,1.8383105232283245e-15,1.8371189596297745e-15
6,0,25,0,2.452948013340715e-19,1.795587451297853e-19
6,0,26,0,2.8355435001733487e-18,2.8206515608104034e-18
6,0,27,0,2.776796262544956e-14,2.776796262544956e-14
6,0,28,0,4.7304712230689105e-11,4.7304708761242154e-11
6,0,29,0,1.3710494057347228e-13,1.3710494057347228e-13
6,0,30,0,1.5197774854152572e-20,1.519777000739117e-20
6,0,31,0,1.1162766378568612e-25,6.08558486945148e-26
6,0,32,0,9.037263231632936e-22,8.964546664478388e-22
6,1,1,1,0.27599045634269714,0.27458569407463074
6,1,2,1,0.03708885237574577,0.035572513937950134
6,1,3,1,0.03684704378247261,0.0356069877743721
6,1,4,1,0.0455642007291317,0.04364119470119476
6,1,5,1,0.04107610881328583,0.039603348821401596
6,1,6,1,0.03754992038011551,0.03610150143504143
6,1,7,0,0.03316952660679817,0.03212616592645645
6,1,8,0,0.0317881815135479,0.030685652047395706
6,1,9,0,0.03089289180934429,0.029921943321824074
6,1,10,0,0.03124658577144146,0.03009916841983795
6,1,11,0,0.027320588007569313,0.02647935412824154
6,1,12,0,0.023689571768045425,0.022965483367443085
6,1,13,0,0.021220888942480087,0.020684797316789627
6,1,14,0,0.01847865805029869,0.017982957884669304
6,1,15,0,0.0193222276866436,0.01886575296521187
6,1,16,0,0.01987493969500065,0.01931784301996231
6,1,17,0,0.020585937425494194,0.02005756087601185
6,1,18,0,0.01886916533112526,0.018377451226115227
6,1,19,0,0.019027939066290855,0.018584761768579483
6,1,20,0,0.018365802243351936,0.01789068803191185
6,1,21,0,0.019135499373078346,0.018663832917809486
6,1,22,0,0.01993904635310173,0.019330190494656563
6,1,23,0,0.021343179047107697,0.020717287436127663
6,1,24,0,0.020094428211450577,0.01943564973771572
6,1,25,0,0.01870741881430149,0.01816544122993946
6,1,26,0,0.016145316883921623,0.015672549605369568
6,1,27,0,0.016097502782940865,0.01564466580748558
6,1,28,0,0.01545110996812582,0.01495195273309946
6,1,29,0,0.015149058774113655,0.014652667567133904
6,1,30,0,0.012877363711595535,0.012451759539544582
6,1,31,0,0.00920137669891119,0.008934116922318935
6,1,32,0,0.007889256812632084,0.007696689106523991
7,0,1,1,0.4292287826538086,0.3763763904571533
7,0,2,1,0.31840547919273376,0.3004406988620758
7,0,3,1,0.25157150626182556,0.24971364438533783
7,0,4,1,0.0006997879245318472,0.0006972916889935732
7,0,5,1,4.95760232865905e-09,6.856285539313944e-10
7,0,6,1,1.1481984807382162e-10,7.46228166065288e-12
7,0,7,1,8.194627615365491e-11,8.095718539991026e-11
7,0,8,0,3.632771861106221e-10,3.632725786850699e-10
7,0,9,0,3.201306753908284e-06,3.2013069812819595e-06
7,0,10,0,1.5508707917888387e-07,1.5508707917888387e-07
7,0,11,0,9.847960120989985e-14,9.847945213210113e-14
7,0,12,0,1.3645991947842397e-17,1.9658805457208226e-18
7,0,13,0,9.681668749312537e-15,5.326941077371354e-15
7,0,14,0,9.676295138413837e-13,1.1995863558132008e-13
7,0,15,0,2.5783798207612563e-08,2.5776834888802114e-08
7,0,16,0,9.846203283814248e-07,9.84261646408413e-07
7,0,17,0,1.3215294414337109e-09,3.493183797775856e-10
7,0,18,0,7.253606781887356e-08,5.026132399166272e-09
7,0,19,0,7.678802944610652e-07,1.1219636775194886e-07
7,0,20,0,5.035933980934715e-08,1.6534228208797686e-08
7,0,21,0,8.92581283551408e-07,8.9242200829176e-07
7,0,22,0,8.830487058730796e-05,8.830487786326557e-05
7,0,23,0,1.4183657803812366e-08,1.4183657803812366e-08
7,0,24,0,1.816491801540001e-15,1.815215958163199e-15
7,0,25,0,2.4316176102823865e-19,1.8094864120342167e-19
7,0,26,0,2.792706090995912e-18,2.780058292634823e-18
7,0,27,0,2.495494079662961e-14,2.4954939102563717e-14
7,0,28,0,3.5338138665297336e-11,3.533813172640343e-11
7,0,29,0,1.5379628722899524e-13,1.5379627367646809e-13
7,0,30,0,1.4748623859471948e-20,1.4748619012710546e-20
7,0,31,0,9.79553361175735e-26,6.073146751647441e-26
7,0,32,0,8.913550656597067e-22,8.845420337418856e-22
7,1,1,1,0.2760756313800812,0.27471643686294556
7,1,2,1,0.0381816029548645,0.03659132122993469
7,1,3,1,0.03698578476905823,0.03575516864657402
7,1,4,1,0.04685424268245697,0.04493224248290062
7,1,5,1,0.041284866631031036,0.03980083018541336
7,1,6,1,0.03848807513713837,0.03706580027937889
7,1,7,1,0.03308575972914696,0.032055340707302094
7,1,8,0,0.032060686498880386,0.030955621972680092
7,1,9,0,0.030840979889035225,0.02986539714038372
