test_ar_order,layer,lag,is_within_ar_order,distributed_context_normalized_attention
5,0,2,1,0.2253529131412506
5,0,3,1,0.1357012838125229
5,0,4,1,0.1357012838125229
5,0,5,1,0.009967497549951077
5,0,6,0,0.009967497549951077
5,0,7,0,0.012563732452690601
5,0,8,0,0.012563732452690601
5,0,9,0,0.025240907445549965
5,0,10,0,0.025240907445549965
5,0,11,0,0.009817094542086124
5,0,12,0,0.009817094542086124
5,0,13,0,0.0072981808334589005
5,0,14,0,0.0072981808334589005
5,0,15,0,0.007706823293119669
5,0,16,0,0.007706823293119669
5,0,17,0,0.008374860510230064
5,0,18,0,0.008374860510230064
5,0,19,0,0.008149388246238232
5,0,20,0,0.008149388246238232
5,0,21,0,0.007386699318885803
5,0,22,0,0.007386699318885803
5,0,23,0,0.008872251957654953
5,0,24,0,0.008872251957654953
5,0,25,0,0.006713622249662876
5,0,26,0,0.006713622249662876
5,0,27,0,0.006660334765911102
5,0,28,0,0.006660334765911102
5,0,29,0,0.007608570624142885
5,0,30,0,0.007608570624142885
5,0,31,0,0.012585793621838093
5,0,32,0,0.012585793621838093
5,1,1,1,0.045189935714006424
5,1,2,1,0.045189935714006424
5,1,3,1,0.045922331511974335
5,1,4,1,0.045922331511974335
5,1,5,1,0.04187334328889847
5,1,6,0,0.04187334328889847
5,1,7,0,0.0381070114672184
5,1,8,0,0.0381070114672184
5,1,9,0,0.03464483097195625
5,1,10,0,0.03464483097195625
5,1,11,0,0.033883728086948395
5,1,12,0,0.033883728086948395
5,1,13,0,0.033580463379621506
5,1,14,0,0.033580463379621506
5,1,15,0,0.032966334372758865
5,1,16,0,0.032966334372758865
5,1,17,0,0.031062014400959015
5,1,18,0,0.031062014400959015
5,1,19,0,0.028597000986337662
5,1,20,0,0.028597000986337662
5,1,21,0,0.025601662695407867
5,1,22,0,0.025601662695407867
5,1,23,0,0.024797985330224037
5,1,24,0,0.024797985330224037
5,1,25,0,0.024340631440281868
5,1,26,0,0.024340631440281868
5,1,27,0,0.024465510621666908
5,1,28,0,0.024465510621666908
5,1,29,0,0.018777897581458092
5,1,30,0,0.018777897581458092
5,1,31,0,0.016189267858862877
5,1,32,0,0.016189267858862877
6,0,1,1,0.2247873842716217
6,0,2,1,0.2247873842716217
6,0,3,1,0.13573475182056427
6,0,4,1,0.13573475182056427
6,0,5,1,0.00984084140509367
6,0,6,1,0.00984084140509367
6,0,7,0,0.012398477643728256
6,0,8,0,0.012398477643728256
6,0,9,0,0.02588016726076603
6,0,10,0,0.02588016726076603
6,0,11,0,0.009958484210073948
6,0,12,0,0.009958484210073948
6,0,13,0,0.007356754504144192
6,0,14,0,0.007356754504144192
